Report generated on: 09-05-2022 12:09:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"INTL.66-13-BOL-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BIH-TBPD.A","        Refined petroleum products (Mb/d)","","","","","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.0651780821917808","0.0869041095890411",""
"INTL.65-13-BIH-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BIH-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BWA-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.217260273972603",""
"INTL.65-13-BWA-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BWA-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BRA-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","18","18","20","21","20","25","16","30","35","36","42","32","52","52","56","55","69","78","84","89","90","102","119","105","117","126","119","114","118.3934246575343",""
"INTL.65-13-BRA-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","4.9","5.3","11","12","13","12","1.9","13","15","17","22","8.6","29","29","13","15","14","29","35","36","39","13","16","14","NA","NA","NA","NA","NA",""
"INTL.66-13-BRA-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","14","12","8.2","9.2","7.5","13","14","17","20","19","20","24","24","24","43","40","56","49","49","53","51","56","70","57","61","72","64","54","57.0205479452055",""
