,regions,product,year,value
295,India,            Distillate fuel oil (Mb/d),1980,
296,India,            Residual fuel oil (Mb/d),1980,
297,Indonesia,        Refined petroleum products (Mb/d),1980,
298,Indonesia,            Distillate fuel oil (Mb/d),1980,
299,Indonesia,            Residual fuel oil (Mb/d),1980,
300,Iran,        Refined petroleum products (Mb/d),1980,
301,Iran,            Distillate fuel oil (Mb/d),1980,
302,Iran,            Residual fuel oil (Mb/d),1980,
303,Iraq,        Refined petroleum products (Mb/d),1980,
304,Iraq,            Distillate fuel oil (Mb/d),1980,
305,Iraq,            Residual fuel oil (Mb/d),1980,
306,Ireland,        Refined petroleum products (Mb/d),1980,6
307,Ireland,            Distillate fuel oil (Mb/d),1980,
308,Ireland,            Residual fuel oil (Mb/d),1980,1
309,Israel,        Refined petroleum products (Mb/d),1980,0
310,Israel,            Distillate fuel oil (Mb/d),1980,
311,Israel,            Residual fuel oil (Mb/d),1980,0
312,Italy,        Refined petroleum products (Mb/d),1980,70
313,Italy,            Distillate fuel oil (Mb/d),1980,
314,Italy,            Residual fuel oil (Mb/d),1980,37
315,Jamaica,        Refined petroleum products (Mb/d),1980,
316,Jamaica,            Distillate fuel oil (Mb/d),1980,
317,Jamaica,            Residual fuel oil (Mb/d),1980,
318,Japan,        Refined petroleum products (Mb/d),1980,183
319,Japan,            Distillate fuel oil (Mb/d),1980,
320,Japan,            Residual fuel oil (Mb/d),1980,142
321,Jordan,        Refined petroleum products (Mb/d),1980,
322,Jordan,            Distillate fuel oil (Mb/d),1980,
323,Jordan,            Residual fuel oil (Mb/d),1980,
324,Kazakhstan,        Refined petroleum products (Mb/d),1980,
325,Kazakhstan,            Distillate fuel oil (Mb/d),1980,
326,Kazakhstan,            Residual fuel oil (Mb/d),1980,
327,Kenya,        Refined petroleum products (Mb/d),1980,
328,Kenya,            Distillate fuel oil (Mb/d),1980,
329,Kenya,            Residual fuel oil (Mb/d),1980,
330,Kiribati,        Refined petroleum products (Mb/d),1980,
331,Kiribati,            Distillate fuel oil (Mb/d),1980,
332,Kiribati,            Residual fuel oil (Mb/d),1980,
333,Kosovo,        Refined petroleum products (Mb/d),1980,
334,Kosovo,            Distillate fuel oil (Mb/d),1980,
335,Kosovo,            Residual fuel oil (Mb/d),1980,
336,Kuwait,        Refined petroleum products (Mb/d),1980,
337,Kuwait,            Distillate fuel oil (Mb/d),1980,
338,Kuwait,            Residual fuel oil (Mb/d),1980,
